,image_id,domain,split,image_path,domain_name
0,n02381460_707,A,train,trainA/n02381460_707.jpg,Horse
1,n02381460_7692,A,train,trainA/n02381460_7692.jpg,Horse
2,n02381460_7876,A,train,trainA/n02381460_7876.jpg,Horse
3,n02381460_7651,A,train,trainA/n02381460_7651.jpg,Horse
4,n02381460_908,A,train,trainA/n02381460_908.jpg,Horse
5,n02381460_4402,A,train,trainA/n02381460_4402.jpg,Horse
6,n02381460_1208,A,train,trainA/n02381460_1208.jpg,Horse
7,n02381460_5708,A,train,trainA/n02381460_5708.jpg,Horse
8,n02381460_5287,A,train,trainA/n02381460_5287.jpg,Horse
9,n02381460_4833,A,train,trainA/n02381460_4833.jpg,Horse
10,n02381460_1793,A,train,trainA/n02381460_1793.jpg,Horse
11,n02381460_6995,A,val,trainA/n02381460_6995.jpg,Horse
12,n02381460_69,A,train,trainA/n02381460_69.jpg,Horse
13,n02381460_8006,A,val,trainA/n02381460_8006.jpg,Horse
14,n02381460_2259,A,train,trainA/n02381460_2259.jpg,Horse
15,n02381460_6981,A,train,trainA/n02381460_6981.jpg,Horse
16,n02381460_2517,A,val,trainA/n02381460_2517.jpg,Horse
17,n02381460_2503,A,train,trainA/n02381460_2503.jpg,Horse
18,n02381460_6822,A,train,trainA/n02381460_6822.jpg,Horse
19,n02381460_6836,A,val,trainA/n02381460_6836.jpg,Horse
20,n02381460_2488,A,val,trainA/n02381460_2488.jpg,Horse
21,n02381460_1803,A,val,trainA/n02381460_1803.jpg,Horse
22,n02381460_4748,A,train,trainA/n02381460_4748.jpg,Horse
23,n02381460_2339,A,val,trainA/n02381460_2339.jpg,Horse
24,n02381460_1624,A,val,trainA/n02381460_1624.jpg,Horse
25,n02381460_5442,A,train,trainA/n02381460_5442.jpg,Horse
26,n02381460_2305,A,train,trainA/n02381460_2305.jpg,Horse
27,n02381460_897,A,train,trainA/n02381460_897.jpg,Horse
28,n02381460_1432,A,val,trainA/n02381460_1432.jpg,Horse
29,n02381460_1354,A,val,trainA/n02381460_1354.jpg,Horse
30,n02381460_3557,A,train,trainA/n02381460_3557.jpg,Horse
31,n02381460_2649,A,train,trainA/n02381460_2649.jpg,Horse
32,n02381460_1426,A,train,trainA/n02381460_1426.jpg,Horse
33,n02381460_854,A,train,trainA/n02381460_854.jpg,Horse
34,n02381460_9052,A,train,trainA/n02381460_9052.jpg,Horse
35,n02381460_855,A,train,trainA/n02381460_855.jpg,Horse
36,n02381460_3556,A,train,trainA/n02381460_3556.jpg,Horse
37,n02381460_4239,A,train,trainA/n02381460_4239.jpg,Horse
38,n02381460_1427,A,train,trainA/n02381460_1427.jpg,Horse
39,n02381460_869,A,train,trainA/n02381460_869.jpg,Horse
40,n02381460_7903,A,train,trainA/n02381460_7903.jpg,Horse
41,n02381460_128,A,train,trainA/n02381460_128.jpg,Horse
42,n02381460_5696,A,val,trainA/n02381460_5696.jpg,Horse
43,n02381460_2476,A,train,trainA/n02381460_2476.jpg,Horse
44,n02381460_2462,A,train,trainA/n02381460_2462.jpg,Horse
45,n02381460_3754,A,val,trainA/n02381460_3754.jpg,Horse
46,n02381460_4991,A,train,trainA/n02381460_4991.jpg,Horse
47,n02381460_1816,A,train,trainA/n02381460_1816.jpg,Horse
48,n02381460_7297,A,train,trainA/n02381460_7297.jpg,Horse
49,n02381460_4946,A,train,trainA/n02381460_4946.jpg,Horse
50,n02381460_1194,A,val,trainA/n02381460_1194.jpg,Horse
51,n02381460_3783,A,train,trainA/n02381460_3783.jpg,Horse
52,n02381460_8985,A,val,trainA/n02381460_8985.jpg,Horse
53,n02381460_4629,A,val,trainA/n02381460_4629.jpg,Horse
54,n02381460_5537,A,train,trainA/n02381460_5537.jpg,Horse
55,n02381460_1751,A,train,trainA/n02381460_1751.jpg,Horse
56,n02381460_8013,A,train,trainA/n02381460_8013.jpg,Horse
57,n02381460_1037,A,val,trainA/n02381460_1037.jpg,Horse
58,n02381460_1023,A,train,trainA/n02381460_1023.jpg,Horse
59,n02381460_5292,A,train,trainA/n02381460_5292.jpg,Horse
60,n02381460_276,A,train,trainA/n02381460_276.jpg,Horse
61,n02381460_5286,A,train,trainA/n02381460_5286.jpg,Horse
62,n02381460_4371,A,train,trainA/n02381460_4371.jpg,Horse
63,n02381460_4417,A,train,trainA/n02381460_4417.jpg,Horse
64,n02381460_935,A,val,trainA/n02381460_935.jpg,Horse
65,n02381460_9127,A,train,trainA/n02381460_9127.jpg,Horse
66,n02381460_921,A,train,trainA/n02381460_921.jpg,Horse
67,n02381460_4403,A,train,trainA/n02381460_4403.jpg,Horse
68,n02381460_2714,A,val,trainA/n02381460_2714.jpg,Horse
69,n02381460_8577,A,train,trainA/n02381460_8577.jpg,Horse
70,n02381460_7122,A,train,trainA/n02381460_7122.jpg,Horse
71,n02381460_5721,A,train,trainA/n02381460_5721.jpg,Horse
72,n02381460_7888,A,train,trainA/n02381460_7888.jpg,Horse
73,n02381460_706,A,train,trainA/n02381460_706.jpg,Horse
74,n02381460_3393,A,train,trainA/n02381460_3393.jpg,Horse
75,n02381460_1592,A,train,trainA/n02381460_1592.jpg,Horse
76,n02381460_1586,A,train,trainA/n02381460_1586.jpg,Horse
77,n02381460_4429,A,train,trainA/n02381460_4429.jpg,Horse
78,n02381460_3346,A,val,trainA/n02381460_3346.jpg,Horse
79,n02381460_8575,A,val,trainA/n02381460_8575.jpg,Horse
80,n02381460_5045,A,train,trainA/n02381460_5045.jpg,Horse
81,n02381460_4415,A,train,trainA/n02381460_4415.jpg,Horse
82,n02381460_4373,A,train,trainA/n02381460_4373.jpg,Horse
83,n02381460_4401,A,train,trainA/n02381460_4401.jpg,Horse
84,n02381460_1579,A,train,trainA/n02381460_1579.jpg,Horse
85,n02381460_6941,A,train,trainA/n02381460_6941.jpg,Horse
86,n02381460_274,A,train,trainA/n02381460_274.jpg,Horse
87,n02381460_506,A,train,trainA/n02381460_506.jpg,Horse
88,n02381460_7493,A,train,trainA/n02381460_7493.jpg,Horse
89,n02381460_8944,A,val,trainA/n02381460_8944.jpg,Horse
90,n02381460_3811,A,train,trainA/n02381460_3811.jpg,Horse
91,n02381460_1035,A,train,trainA/n02381460_1035.jpg,Horse
92,n02381460_4159,A,val,trainA/n02381460_4159.jpg,Horse
93,n02381460_2528,A,train,trainA/n02381460_2528.jpg,Horse
94,n02381460_1009,A,train,trainA/n02381460_1009.jpg,Horse
95,n02381460_2514,A,val,trainA/n02381460_2514.jpg,Horse
96,n02381460_1182,A,train,trainA/n02381460_1182.jpg,Horse
97,n02381460_4944,A,train,trainA/n02381460_4944.jpg,Horse
98,n02381460_466,A,train,trainA/n02381460_466.jpg,Horse
99,n02381460_4788,A,val,trainA/n02381460_4788.jpg,Horse
100,n02381460_314,A,train,trainA/n02381460_314.jpg,Horse
101,n02381460_328,A,val,trainA/n02381460_328.jpg,Horse
102,n02381460_3965,A,train,trainA/n02381460_3965.jpg,Horse
103,n02381460_1155,A,train,trainA/n02381460_1155.jpg,Horse
104,n02381460_2474,A,train,trainA/n02381460_2474.jpg,Horse
105,n02381460_4763,A,train,trainA/n02381460_4763.jpg,Horse
106,n02381460_3018,A,train,trainA/n02381460_3018.jpg,Horse
107,n02381460_2306,A,train,trainA/n02381460_2306.jpg,Horse
108,n02381460_102,A,train,trainA/n02381460_102.jpg,Horse
109,n02381460_5864,A,train,trainA/n02381460_5864.jpg,Horse
110,n02381460_2879,A,train,trainA/n02381460_2879.jpg,Horse
111,n02381460_1425,A,train,trainA/n02381460_1425.jpg,Horse
112,n02381460_3226,A,train,trainA/n02381460_3226.jpg,Horse
113,n02381460_856,A,train,trainA/n02381460_856.jpg,Horse
114,n02381460_1418,A,train,trainA/n02381460_1418.jpg,Horse
115,n02381460_6411,A,train,trainA/n02381460_6411.jpg,Horse
116,n02381460_2139,A,train,trainA/n02381460_2139.jpg,Horse
117,n02381460_2878,A,train,trainA/n02381460_2878.jpg,Horse
118,n02381460_881,A,train,trainA/n02381460_881.jpg,Horse
119,n02381460_117,A,train,trainA/n02381460_117.jpg,Horse
